barangay,household_id,received_assistance
Tibanban,TIB-0011,2
Tibanban,TIB-0012,2
Tibanban,TIB-0013,2
Tibanban,TIB-0014,2
Tibanban,TIB-0015,1
Tibanban,TIB-0016,1
Tibanban,TIB-0017,1
Tibanban,TIB-0018,1
Tibanban,TIB-0019,2
Tibanban,TIB-0020,1
Tibanban,TIB-0021,1
Tibanban,TIB-0022,2
Tibanban,TIB-0023,1
Tibanban,TIB-0024,1
Tibanban,TIB-0025,2
Tibanban,TIB-0026,1
Tibanban,TIB-0027,2
Tibanban,TIB-0028,1
Tibanban,TIB-0029,2
Tibanban,TIB-0030,2
Tibanban,TIB-0031,1
Tibanban,TIB-0032,1
Tibanban,TIB-0033,1
Tibanban,TIB-0034,1
Tibanban,TIB-0035,1
Tibanban,TIB-0036,1
Tibanban,TIB-0037,2
Tibanban,TIB-0038,1
Tibanban,TIB-0039,2
Tibanban,TIB-0040,2
Tibanban,TIB-0041,1
Tibanban,TIB-0042,2
Tibanban,TIB-0043,2
Tibanban,TIB-0044,2
Tibanban,TIB-0045,1
Tibanban,TIB-0046,2
Tibanban,TIB-0047,2
Tibanban,TIB-0048,1
Tibanban,TIB-0049,2
Tibanban,TIB-0050,1
Tibanban,TIB-0051,1
Tibanban,TIB-0052,2
Tibanban,TIB-0053,1
Tibanban,TIB-0054,1
Tibanban,TIB-0055,1
Tibanban,TIB-0056,2
Tibanban,TIB-0057,1
Tibanban,TIB-0058,2
Tibanban,TIB-0059,1
Tibanban,TIB-0060,2
Tibanban,TIB-0061,1
Tibanban,TIB-0062,1
Tibanban,TIB-0063,2
Tibanban,TIB-0064,2
Tibanban,TIB-0065,1
Tibanban,TIB-0066,1
Tibanban,TIB-0067,1
Tibanban,TIB-0068,1
Tibanban,TIB-0069,2
Tibanban,TIB-0070,1
Tibanban,TIB-0071,1
Tibanban,TIB-0072,1
Tibanban,TIB-0073,1
Tibanban,TIB-0074,2
Tibanban,TIB-0075,1
Tibanban,TIB-0076,2
Tibanban,TIB-0077,1
Tibanban,TIB-0078,1
Tibanban,TIB-0079,2
Tibanban,TIB-0080,1
Tibanban,TIB-0081,2
Tibanban,TIB-0082,1
Tibanban,TIB-0083,2
Tibanban,TIB-0084,1
Tibanban,TIB-0085,1
Tibanban,TIB-0086,2
Tibanban,TIB-0087,2
Tibanban,TIB-0088,1
Tibanban,TIB-0089,2
Tibanban,TIB-0090,2
Tibanban,TIB-0091,2
Tibanban,TIB-0092,2
Tibanban,TIB-0093,2
Tibanban,TIB-0094,1
Tibanban,TIB-0095,2
Tibanban,TIB-0096,2
Tibanban,TIB-0097,1
Tibanban,TIB-0098,2
Tibanban,TIB-0099,2
Tibanban,TIB-0100,1
Tibanban,TIB-0101,2
Tibanban,TIB-0102,1
Tibanban,TIB-0103,1
Tibanban,TIB-0104,1
Tibanban,TIB-0105,1
Tibanban,TIB-0106,1
Tibanban,TIB-0107,1
Tibanban,TIB-0108,1
Tibanban,TIB-0109,2
Tibanban,TIB-0110,2
Tibanban,TIB-0111,1
Tibanban,TIB-0112,2
Tibanban,TIB-0113,2
Tibanban,TIB-0114,2
Tibanban,TIB-0115,1
Tibanban,TIB-0116,2
Tibanban,TIB-0117,1
Tibanban,TIB-0118,1
Tibanban,TIB-0119,1
Tibanban,TIB-0120,1
Tibanban,TIB-0121,1
Tibanban,TIB-0122,2
Tibanban,TIB-0123,1
Tibanban,TIB-0124,1
Tibanban,TIB-0125,1
Tibanban,TIB-0126,1
Tibanban,TIB-0127,1
Tibanban,TIB-0128,2
Tibanban,TIB-0129,2
Tibanban,TIB-0130,1
Tibanban,TIB-0131,2
Tibanban,TIB-0132,2
Tibanban,TIB-0133,2
Tibanban,TIB-0134,2
Tibanban,TIB-0135,1
Tibanban,TIB-0136,1
Tibanban,TIB-0137,1
Tibanban,TIB-0138,2
Tibanban,TIB-0139,2
Tibanban,TIB-0140,2
Tibanban,TIB-0141,2
Tibanban,TIB-0142,2
Tibanban,TIB-0143,1
Tibanban,TIB-0144,1
Tibanban,TIB-0145,1
Tibanban,TIB-0146,2
Tibanban,TIB-0147,1
Tibanban,TIB-0148,2
Tibanban,TIB-0149,2
Tibanban,TIB-0150,1
Tibanban,TIB-0151,2
Tibanban,TIB-0152,2
Tibanban,TIB-0153,1
Tibanban,TIB-0154,1
Tibanban,TIB-0155,1
Tibanban,TIB-0156,1
Tibanban,TIB-0157,2
Tibanban,TIB-0158,1
Tibanban,TIB-0159,2
Tibanban,TIB-0160,1
Tibanban,TIB-0161,1
Tibanban,TIB-0162,2
Tibanban,TIB-0163,1
Tibanban,TIB-0164,1
Tibanban,TIB-0165,2
Tibanban,TIB-0166,1
Tibanban,TIB-0167,1
Tibanban,TIB-0168,1
Tibanban,TIB-0169,1
Tibanban,TIB-0170,1
Tibanban,TIB-0171,1
Tibanban,TIB-0172,1
Tibanban,TIB-0173,1
Tibanban,TIB-0174,1
Tibanban,TIB-0175,1
Tibanban,TIB-0176,2
Tibanban,TIB-0177,2
Tibanban,TIB-0178,2
Tibanban,TIB-0179,1
Tibanban,TIB-0180,2
Tibanban,TIB-0181,1
Tibanban,TIB-0182,1
Tibanban,TIB-0183,1
Tibanban,TIB-0184,1
Tibanban,TIB-0185,2
Tibanban,TIB-0186,2
Tibanban,TIB-0187,1
Tibanban,TIB-0188,1
Tibanban,TIB-0189,1
Tibanban,TIB-0190,2
Tibanban,TIB-0191,2
Tibanban,TIB-0192,2
Tibanban,TIB-0193,2
Tibanban,TIB-0194,1
Tibanban,TIB-0195,2
Tibanban,TIB-0196,1
Tibanban,TIB-0197,1
Tibanban,TIB-0198,2
Tibanban,TIB-0199,1
Tibanban,TIB-0200,1
Tibanban,TIB-0201,2
Tibanban,TIB-0202,2
Tibanban,TIB-0203,2
Tibanban,TIB-0204,2
Tibanban,TIB-0205,2
Tibanban,TIB-0206,2
Tibanban,TIB-0207,2
Tibanban,TIB-0208,1
Tibanban,TIB-0209,1
Tibanban,TIB-0210,1
Tibanban,TIB-0211,1
Tibanban,TIB-0212,1
Tibanban,TIB-0213,2
Tibanban,TIB-0214,1
Tibanban,TIB-0215,2
Tibanban,TIB-0216,2
Tibanban,TIB-0217,2
Tiblawan,TIB-0001,2
Tiblawan,TIB-0002,2
Tiblawan,TIB-0003,2
Tiblawan,TIB-0004,2
Tiblawan,TIB-0005,2
Tiblawan,TIB-0006,2
Tiblawan,TIB-0007,1
Tiblawan,TIB-0008,1
Tiblawan,TIB-0009,1
Tiblawan,TIB-0010,1
Tiblawan,TIB-0011,1
Tiblawan,TIB-0012,2
Tiblawan,TIB-0013,1
Tiblawan,TIB-0014,1
Tiblawan,TIB-0015,2
Tiblawan,TIB-0016,1
Tiblawan,TIB-0017,1
Tiblawan,TIB-0018,2
Tiblawan,TIB-0019,1
Tiblawan,TIB-0020,1
Tiblawan,TIB-0021,1
Tiblawan,TIB-0022,1
Tiblawan,TIB-0023,2
Tiblawan,TIB-0024,2
Tiblawan,TIB-0025,2
Tiblawan,TIB-0026,1
Tiblawan,TIB-0027,1
Tiblawan,TIB-0028,1
Tiblawan,TIB-0029,1
Tiblawan,TIB-0030,2
Tiblawan,TIB-0031,1
Tiblawan,TIB-0032,2
Tiblawan,TIB-0033,2
Tiblawan,TIB-0034,2
Tiblawan,TIB-0035,1
Tiblawan,TIB-0036,2
Tiblawan,TIB-0037,1
Tiblawan,TIB-0038,1
Tiblawan,TIB-0039,2
Tiblawan,TIB-0040,1
Tiblawan,TIB-0041,1
Tiblawan,TIB-0042,2
Tiblawan,TIB-0043,2
Tiblawan,TIB-0044,2
Tiblawan,TIB-0045,1
Tiblawan,TIB-0046,1
Tiblawan,TIB-0047,1
Tiblawan,TIB-0048,2
Tiblawan,TIB-0049,2
Tiblawan,TIB-0050,1
Tiblawan,TIB-0051,1
Tiblawan,TIB-0052,2
Tiblawan,TIB-0053,2
Tiblawan,TIB-0054,1
Tiblawan,TIB-0055,2
Tiblawan,TIB-0056,2
Tiblawan,TIB-0057,2
Tiblawan,TIB-0058,2
Tiblawan,TIB-0059,2
Tiblawan,TIB-0060,1
Tiblawan,TIB-0061,2
Tiblawan,TIB-0062,1
Tiblawan,TIB-0063,2
Tiblawan,TIB-0064,1
Tiblawan,TIB-0065,1
Tiblawan,TIB-0066,1
Tiblawan,TIB-0067,1
Tiblawan,TIB-0068,2
Tiblawan,TIB-0069,1
Tiblawan,TIB-0070,1
Tiblawan,TIB-0071,1
Tiblawan,TIB-0072,2
Tiblawan,TIB-0073,1
Tiblawan,TIB-0074,2
Tiblawan,TIB-0075,1
Tiblawan,TIB-0076,2
Tiblawan,TIB-0077,1
Tiblawan,TIB-0078,1
Tiblawan,TIB-0079,2
Tiblawan,TIB-0080,1
Tiblawan,TIB-0081,1
Tiblawan,TIB-0082,2
Tiblawan,TIB-0083,2
Tiblawan,TIB-0084,1
Tiblawan,TIB-0085,1
Tiblawan,TIB-0086,1
Tiblawan,TIB-0087,1
Tiblawan,TIB-0088,1
Tiblawan,TIB-0089,2
Tiblawan,TIB-0090,1
Tiblawan,TIB-0091,2
Tiblawan,TIB-0092,2
Tiblawan,TIB-0093,2
Tiblawan,TIB-0094,1
Tiblawan,TIB-0095,1
Tiblawan,TIB-0096,1
Tiblawan,TIB-0097,1
Tiblawan,TIB-0098,2
Tiblawan,TIB-0099,2
Upper Tibanban,UPP-0001,1
Upper Tibanban,UPP-0002,1
Upper Tibanban,UPP-0003,1
Upper Tibanban,UPP-0004,2
Upper Tibanban,UPP-0005,2
Upper Tibanban,UPP-0006,2
Upper Tibanban,UPP-0007,1
Upper Tibanban,UPP-0008,1
Upper Tibanban,UPP-0009,1
Upper Tibanban,UPP-0010,2
Upper Tibanban,UPP-0011,2
Upper Tibanban,UPP-0012,2
Upper Tibanban,UPP-0013,2
Upper Tibanban,UPP-0014,1
Upper Tibanban,UPP-0015,2
Upper Tibanban,UPP-0016,2
Upper Tibanban,UPP-0017,1
Upper Tibanban,UPP-0018,1
Upper Tibanban,UPP-0019,2
Upper Tibanban,UPP-0020,1
Upper Tibanban,UPP-0021,2
Upper Tibanban,UPP-0022,2
Upper Tibanban,UPP-0023,2
Upper Tibanban,UPP-0024,2
Upper Tibanban,UPP-0025,2
Upper Tibanban,UPP-0026,2
Upper Tibanban,UPP-0027,2
Upper Tibanban,UPP-0028,1
Upper Tibanban,UPP-0029,2
Upper Tibanban,UPP-0030,1
Upper Tibanban,UPP-0031,1
Upper Tibanban,UPP-0032,1
Crispin Dela Cruz,CRI-0001,2
Crispin Dela Cruz,CRI-0002,2
Crispin Dela Cruz,CRI-0003,1
Crispin Dela Cruz,CRI-0004,2
Crispin Dela Cruz,CRI-0005,2
Crispin Dela Cruz,CRI-0006,1
Crispin Dela Cruz,CRI-0007,1
Crispin Dela Cruz,CRI-0008,2
Crispin Dela Cruz,CRI-0009,2
Crispin Dela Cruz,CRI-0010,2
Crispin Dela Cruz,CRI-0011,1
Crispin Dela Cruz,CRI-0012,1
Crispin Dela Cruz,CRI-0013,1
Crispin Dela Cruz,CRI-0014,1
Crispin Dela Cruz,CRI-0015,1
Crispin Dela Cruz,CRI-0016,2
Crispin Dela Cruz,CRI-0017,2
Crispin Dela Cruz,CRI-0018,1
Crispin Dela Cruz,CRI-0019,1
Crispin Dela Cruz,CRI-0020,2
Crispin Dela Cruz,CRI-0021,2
Crispin Dela Cruz,CRI-0022,2
Crispin Dela Cruz,CRI-0023,1
Crispin Dela Cruz,CRI-0024,2
Crispin Dela Cruz,CRI-0025,1
Crispin Dela Cruz,CRI-0026,2
Crispin Dela Cruz,CRI-0027,1
Crispin Dela Cruz,CRI-0028,1
Crispin Dela Cruz,CRI-0029,2
Crispin Dela Cruz,CRI-0030,2
Crispin Dela Cruz,CRI-0031,1
Crispin Dela Cruz,CRI-0032,1
Crispin Dela Cruz,CRI-0033,2
Crispin Dela Cruz,CRI-0034,2
Crispin Dela Cruz,CRI-0035,2
Crispin Dela Cruz,CRI-0036,1
Crispin Dela Cruz,CRI-0037,1
Crispin Dela Cruz,CRI-0038,2
Crispin Dela Cruz,CRI-0039,2
Crispin Dela Cruz,CRI-0040,1
Crispin Dela Cruz,CRI-0041,1
Crispin Dela Cruz,CRI-0042,2
Crispin Dela Cruz,CRI-0043,2
Crispin Dela Cruz,CRI-0044,1
Crispin Dela Cruz,CRI-0045,2
Crispin Dela Cruz,CRI-0046,2
Crispin Dela Cruz,CRI-0047,1
Crispin Dela Cruz,CRI-0048,1
Crispin Dela Cruz,CRI-0049,1
Crispin Dela Cruz,CRI-0050,1
