barangay,household_id,worried_food,unable_eat_healthy,few_kinds_food,skipped_meal,ate_less,ran_out_food,hungry_no_eat,one_day_no_eat
Nangan,NAN-0102,2,2,1,1,2,1,2,2
Nangan,NAN-0103,2,2,1,2,1,1,1,2
Nangan,NAN-0104,2,2,1,1,2,2,1,1
Nangan,NAN-0105,1,2,1,2,1,2,1,2
Nangan,NAN-0106,2,1,1,2,1,1,1,1
Nangan,NAN-0107,2,1,2,1,1,2,1,2
Nangan,NAN-0108,2,1,1,1,1,1,2,2
Nangan,NAN-0109,1,1,2,1,1,2,1,1
Nangan,NAN-0110,2,2,1,1,2,2,2,1
Nangan,NAN-0111,2,2,2,2,1,1,2,1
Nangan,NAN-0112,2,2,1,1,1,2,1,1
Oregon,ORE-0001,2,1,1,1,2,2,1,1
Oregon,ORE-0002,1,2,2,2,1,2,2,1
Oregon,ORE-0003,2,1,1,2,2,2,1,1
Oregon,ORE-0004,1,1,1,1,1,2,2,1
Oregon,ORE-0005,1,1,1,2,2,1,1,2
Oregon,ORE-0006,1,1,2,1,2,2,1,1
Oregon,ORE-0007,1,1,1,2,1,2,2,1
Oregon,ORE-0008,2,2,2,2,1,2,2,1
Oregon,ORE-0009,2,1,2,2,2,1,1,1
Oregon,ORE-0010,1,2,1,2,1,1,2,1
Oregon,ORE-0011,1,2,2,2,1,2,2,1
Oregon,ORE-0012,1,1,2,1,1,2,2,2
Oregon,ORE-0013,2,2,2,1,2,1,2,2
Oregon,ORE-0014,2,1,2,2,1,2,1,1
Oregon,ORE-0015,2,2,2,2,2,1,1,2
Oregon,ORE-0016,1,1,1,1,2,1,1,1
Oregon,ORE-0017,2,1,1,1,1,1,1,2
Oregon,ORE-0018,1,2,1,2,2,1,1,1
Oregon,ORE-0019,1,1,1,2,1,2,1,1
Oregon,ORE-0020,2,1,2,2,2,2,1,2
Oregon,ORE-0021,1,2,1,1,1,2,1,1
Oregon,ORE-0022,1,1,1,1,2,2,1,2
Oregon,ORE-0023,1,1,2,1,1,1,1,2
Oregon,ORE-0024,1,1,2,2,1,1,2,2
Oregon,ORE-0025,2,1,1,1,1,1,1,2
Oregon,ORE-0026,2,2,1,2,1,1,2,1
Poblacion,POB-0001,2,1,1,2,2,1,1,2
Poblacion,POB-0002,2,2,1,2,1,2,1,2
Poblacion,POB-0003,1,1,2,2,1,2,1,1
Poblacion,POB-0004,1,1,2,2,2,2,1,2
Poblacion,POB-0005,1,1,2,2,1,1,1,1
Poblacion,POB-0006,1,1,2,1,2,1,1,2
Poblacion,POB-0007,1,2,2,2,2,1,2,1
Poblacion,POB-0008,2,1,2,2,1,1,1,2
Poblacion,POB-0009,1,1,2,1,2,2,1,2
Poblacion,POB-0010,2,2,2,1,1,1,1,2
Poblacion,POB-0011,2,1,1,2,1,2,1,1
Poblacion,POB-0012,2,1,1,2,2,2,2,2
Poblacion,POB-0013,2,2,2,2,1,2,2,1
Poblacion,POB-0014,1,1,2,2,2,1,1,1
Poblacion,POB-0015,1,2,2,1,1,1,2,2
Poblacion,POB-0016,2,2,1,1,1,1,2,1
Poblacion,POB-0017,2,1,1,2,2,2,2,1
Poblacion,POB-0018,2,1,2,1,1,2,1,2
Poblacion,POB-0019,1,1,2,1,1,2,1,2
Poblacion,POB-0020,2,1,2,1,1,2,2,1
Poblacion,POB-0021,1,2,1,1,1,1,2,2
Poblacion,POB-0022,2,2,2,2,2,1,2,1
Poblacion,POB-0023,1,1,2,2,1,2,2,2
Poblacion,POB-0024,2,1,1,1,1,2,1,1
Poblacion,POB-0025,2,1,2,2,1,1,1,2
Poblacion,POB-0026,1,1,2,1,2,2,1,1
Poblacion,POB-0027,1,1,1,2,2,2,1,2
Poblacion,POB-0028,2,2,1,1,1,2,1,2
Poblacion,POB-0029,2,1,1,2,2,2,1,2
Poblacion,POB-0030,2,2,2,1,1,1,1,2
Poblacion,POB-0031,2,2,2,1,1,2,1,2
Poblacion,POB-0032,2,1,1,1,1,1,1,1
Poblacion,POB-0033,1,2,1,2,2,2,2,2
Poblacion,POB-0034,1,2,2,1,1,1,2,1
Poblacion,POB-0035,2,1,1,2,2,2,2,2
Poblacion,POB-0036,1,2,1,2,2,1,1,2
Poblacion,POB-0037,1,1,1,2,1,1,1,1
Poblacion,POB-0038,2,2,2,2,2,2,2,1
Poblacion,POB-0039,2,1,1,2,1,1,2,2
Poblacion,POB-0040,1,1,1,2,1,1,1,2
Poblacion,POB-0041,2,2,2,2,2,2,2,2
Poblacion,POB-0042,1,1,2,2,2,2,1,1
Poblacion,POB-0043,1,1,1,2,1,1,2,1
Poblacion,POB-0044,2,1,1,2,1,2,1,2
Poblacion,POB-0045,2,1,2,2,1,2,1,2
Poblacion,POB-0046,1,1,2,2,2,1,1,1
Poblacion,POB-0047,2,2,2,1,1,2,1,1
Poblacion,POB-0048,1,1,2,2,2,1,2,2
Poblacion,POB-0049,2,1,2,1,2,1,1,2
Poblacion,POB-0050,1,2,1,2,1,1,2,2
Poblacion,POB-0051,2,2,1,2,1,1,2,2
Poblacion,POB-0052,1,1,2,1,2,2,2,1
Poblacion,POB-0053,2,1,2,1,2,2,1,2
Poblacion,POB-0054,1,1,1,1,2,1,2,2
Poblacion,POB-0055,2,1,1,1,2,1,1,1
Poblacion,POB-0056,1,2,2,1,1,1,1,1
Poblacion,POB-0057,2,1,1,1,1,2,2,1
Poblacion,POB-0058,2,1,1,2,1,1,1,2
Poblacion,POB-0059,2,1,1,1,2,2,2,1
Poblacion,POB-0060,1,2,1,2,2,1,1,2
Poblacion,POB-0061,1,2,2,1,2,1,1,1
Poblacion,POB-0062,1,2,1,2,2,2,1,2
Poblacion,POB-0063,1,2,1,2,1,1,1,1
Poblacion,POB-0064,1,1,2,1,2,2,2,1
Poblacion,POB-0065,2,2,2,1,2,2,1,1
Poblacion,POB-0066,1,1,2,2,2,1,1,2
Poblacion,POB-0067,1,1,2,2,2,2,1,2
Poblacion,POB-0068,2,2,1,1,2,1,2,2
Poblacion,POB-0069,1,1,2,2,2,1,2,1
Poblacion,POB-0070,1,1,2,1,1,1,1,1
Poblacion,POB-0071,2,2,1,1,1,1,2,2
Poblacion,POB-0072,1,2,1,1,2,1,1,2
Poblacion,POB-0073,1,1,2,1,1,1,1,2
Poblacion,POB-0074,1,1,1,1,2,1,1,2
Poblacion,POB-0075,1,1,1,1,1,1,2,2
Poblacion,POB-0076,1,2,2,2,1,1,1,2
Poblacion,POB-0077,1,2,2,2,2,2,2,2
Poblacion,POB-0078,2,1,1,2,1,2,2,2
Poblacion,POB-0079,1,1,2,1,2,2,2,2
Poblacion,POB-0080,2,2,1,2,1,2,1,1
Poblacion,POB-0081,1,2,2,1,2,2,2,2
Poblacion,POB-0082,2,1,2,2,2,2,1,2
Poblacion,POB-0083,1,1,2,1,1,2,1,1
Poblacion,POB-0084,1,2,2,1,1,2,2,2
Poblacion,POB-0085,1,2,2,1,2,1,1,2
Poblacion,POB-0086,1,1,1,1,1,1,2,1
Poblacion,POB-0087,1,1,1,2,1,2,1,2
Poblacion,POB-0088,2,1,2,2,2,2,1,1
Poblacion,POB-0089,1,1,2,1,1,1,1,1
Poblacion,POB-0090,2,1,2,1,2,1,1,2
Poblacion,POB-0091,1,1,1,1,1,2,2,2
Poblacion,POB-0092,1,2,1,1,1,2,2,2
Poblacion,POB-0093,1,1,1,2,1,1,1,2
Poblacion,POB-0094,2,2,1,1,2,2,2,1
Poblacion,POB-0095,2,2,2,2,2,1,1,2
Poblacion,POB-0096,1,2,2,2,2,1,2,1
Poblacion,POB-0097,2,1,1,2,2,2,2,1
Poblacion,POB-0098,1,1,1,1,2,2,1,2
Poblacion,POB-0099,2,1,1,2,1,2,2,1
Poblacion,POB-0100,2,1,2,1,1,2,1,2
Poblacion,POB-0101,2,1,2,2,2,1,2,1
Poblacion,POB-0102,2,1,2,2,2,1,2,2
Poblacion,POB-0103,1,2,2,2,1,2,2,1
Poblacion,POB-0104,1,1,1,2,1,1,2,2
Poblacion,POB-0105,2,1,2,1,2,2,2,2
Poblacion,POB-0106,1,1,1,1,1,2,1,2
Poblacion,POB-0107,2,1,2,1,1,2,2,1
Poblacion,POB-0108,1,1,1,2,2,2,1,2
Poblacion,POB-0109,1,1,1,2,1,1,2,2
Poblacion,POB-0110,2,1,1,1,1,1,2,2
Poblacion,POB-0111,2,1,1,1,1,2,1,2
Poblacion,POB-0112,2,1,1,1,2,1,1,2
Poblacion,POB-0113,2,1,1,2,2,2,2,2
Poblacion,POB-0114,2,1,1,2,2,2,1,2
Poblacion,POB-0115,1,2,1,1,2,2,2,1
Poblacion,POB-0116,2,2,1,1,2,1,2,1
Poblacion,POB-0117,1,1,1,2,1,1,2,2
Poblacion,POB-0118,2,2,1,2,1,2,1,2
Poblacion,POB-0119,1,2,2,2,2,2,1,1
Poblacion,POB-0120,1,1,2,1,2,2,2,2
Poblacion,POB-0121,2,1,1,1,2,2,1,2
Poblacion,POB-0122,2,2,2,1,2,1,1,1
Poblacion,POB-0123,1,1,2,2,2,1,2,2
Poblacion,POB-0124,1,2,2,1,2,2,2,2
Pundaguitan,PUN-0001,1,1,2,2,2,2,2,1
Pundaguitan,PUN-0002,1,1,2,1,1,2,1,1
Pundaguitan,PUN-0003,2,1,1,1,2,1,1,2
Pundaguitan,PUN-0004,2,2,2,1,1,1,2,1
Pundaguitan,PUN-0005,1,1,2,1,1,2,2,2
Pundaguitan,PUN-0006,1,1,1,2,2,1,1,2
Pundaguitan,PUN-0007,1,2,2,1,2,1,2,2
Pundaguitan,PUN-0008,2,1,2,1,2,1,2,2
Pundaguitan,PUN-0009,2,2,1,2,1,1,2,2
Pundaguitan,PUN-0010,1,1,1,2,1,2,2,1
Pundaguitan,PUN-0011,1,2,2,2,1,2,2,1
Pundaguitan,PUN-0012,2,1,2,2,2,2,1,1
Pundaguitan,PUN-0013,2,1,1,1,1,1,2,1
Pundaguitan,PUN-0014,1,1,2,1,1,2,1,1
Pundaguitan,PUN-0015,2,2,1,2,2,1,1,1
Pundaguitan,PUN-0016,2,2,1,1,2,1,1,2
Pundaguitan,PUN-0017,2,1,2,2,1,1,2,1
Pundaguitan,PUN-0018,1,1,1,1,2,1,1,2
Pundaguitan,PUN-0019,1,2,1,2,2,1,2,1
Pundaguitan,PUN-0020,1,1,1,1,1,2,2,2
Pundaguitan,PUN-0021,1,1,2,1,1,2,1,2
Pundaguitan,PUN-0022,2,2,2,1,1,2,1,2
Pundaguitan,PUN-0023,2,2,2,1,2,2,2,2
Pundaguitan,PUN-0024,1,1,2,2,2,1,2,1
Pundaguitan,PUN-0025,2,1,2,1,2,1,1,1
Pundaguitan,PUN-0026,2,1,2,2,1,1,1,1
Pundaguitan,PUN-0027,1,2,1,1,2,2,1,2
Pundaguitan,PUN-0028,2,1,2,2,1,1,1,1
Pundaguitan,PUN-0029,2,1,1,1,1,2,1,1
Pundaguitan,PUN-0030,1,2,1,2,2,2,1,1
Pundaguitan,PUN-0031,1,1,1,2,1,1,1,1
Pundaguitan,PUN-0032,2,2,1,1,2,1,2,2
Pundaguitan,PUN-0033,2,2,1,1,2,1,2,2
Pundaguitan,PUN-0034,1,2,1,2,1,2,1,1
Pundaguitan,PUN-0035,2,2,1,2,2,2,2,2
Pundaguitan,PUN-0036,2,1,1,2,1,1,2,1
Pundaguitan,PUN-0037,1,1,1,2,2,1,2,2
Pundaguitan,PUN-0038,2,1,1,1,1,1,2,2
Pundaguitan,PUN-0039,1,1,2,1,2,1,2,1
Pundaguitan,PUN-0040,1,2,1,1,2,1,2,2
Pundaguitan,PUN-0041,1,1,1,1,2,2,1,1
Pundaguitan,PUN-0042,2,2,2,1,1,2,2,1
Pundaguitan,PUN-0043,1,1,2,1,1,1,1,2
Pundaguitan,PUN-0044,1,2,1,2,2,2,1,1
Pundaguitan,PUN-0045,1,2,1,2,1,1,1,2
Pundaguitan,PUN-0046,1,1,1,1,1,1,1,1
Pundaguitan,PUN-0047,2,1,1,2,1,1,2,2
Pundaguitan,PUN-0048,1,2,1,2,1,1,1,1
Pundaguitan,PUN-0049,2,1,1,2,2,1,1,1
Pundaguitan,PUN-0050,1,2,1,2,1,2,1,1
Pundaguitan,PUN-0051,1,1,2,1,1,2,1,2
Pundaguitan,PUN-0052,1,2,2,2,2,1,1,2
Pundaguitan,PUN-0053,2,2,1,1,1,2,1,2
Pundaguitan,PUN-0054,2,1,2,2,2,1,2,1
Sergio Osmeña,SER-0001,2,2,1,2,2,1,1,1
Sergio Osmeña,SER-0002,2,1,1,1,2,1,2,2
Sergio Osmeña,SER-0003,1,1,2,1,1,2,1,2
Sergio Osmeña,SER-0004,2,2,1,2,2,2,1,2
Sergio Osmeña,SER-0005,1,1,1,1,1,2,1,2
Sergio Osmeña,SER-0006,2,1,1,1,1,2,1,2
Sergio Osmeña,SER-0007,1,1,2,2,1,2,2,1
Sergio Osmeña,SER-0008,1,2,2,1,2,1,2,1
Sergio Osmeña,SER-0009,1,1,1,2,2,1,2,2
Sergio Osmeña,SER-0010,2,1,2,1,1,1,2,1
Sergio Osmeña,SER-0011,2,2,2,2,2,2,2,1
Sergio Osmeña,SER-0012,2,1,1,1,1,1,1,1
Sergio Osmeña,SER-0013,2,1,2,2,2,2,1,2
Sergio Osmeña,SER-0014,2,2,1,2,2,2,1,2
Sergio Osmeña,SER-0015,2,1,1,1,1,2,2,1
Sergio Osmeña,SER-0016,2,2,1,2,2,2,2,2
Sergio Osmeña,SER-0017,1,2,2,2,1,2,2,1
Sergio Osmeña,SER-0018,2,1,1,1,2,2,1,1
Sergio Osmeña,SER-0019,1,2,2,2,1,1,2,1
Sergio Osmeña,SER-0020,1,1,1,2,1,2,2,1
Sergio Osmeña,SER-0021,2,1,2,2,2,1,1,1
Sergio Osmeña,SER-0022,2,2,1,1,1,1,2,1
Sergio Osmeña,SER-0023,1,1,1,1,1,1,2,1
Sergio Osmeña,SER-0024,1,1,1,1,1,1,1,2
Sergio Osmeña,SER-0025,2,2,2,1,1,2,1,1
Sergio Osmeña,SER-0026,2,2,1,1,1,2,2,2
Sergio Osmeña,SER-0027,1,1,2,1,2,2,1,2
Sergio Osmeña,SER-0028,1,1,2,2,2,2,1,1
Sergio Osmeña,SER-0029,2,1,2,1,2,1,1,1
Sergio Osmeña,SER-0030,2,2,2,1,2,2,2,2
Sergio Osmeña,SER-0031,1,1,2,2,1,2,2,2
Sergio Osmeña,SER-0032,1,2,1,1,1,2,2,2
Sergio Osmeña,SER-0033,1,2,1,1,1,1,2,2
Sergio Osmeña,SER-0034,2,1,1,2,2,1,2,2
Sergio Osmeña,SER-0035,2,2,1,1,2,2,1,1
Sergio Osmeña,SER-0036,1,1,2,1,2,2,2,2
Sergio Osmeña,SER-0037,1,1,1,1,1,2,2,1
Sergio Osmeña,SER-0038,2,2,1,2,1,1,2,1
Sergio Osmeña,SER-0039,2,2,1,2,2,1,1,1
Sergio Osmeña,SER-0040,2,2,2,1,2,1,1,1
Sergio Osmeña,SER-0041,2,1,1,2,2,1,2,2
Sergio Osmeña,SER-0042,1,1,1,1,2,1,2,1
Sergio Osmeña,SER-0043,1,1,2,1,2,2,1,1
Surop,SUR-0001,2,2,1,2,1,1,1,1
Surop,SUR-0002,1,1,1,1,2,2,2,1
Surop,SUR-0003,2,2,1,2,1,1,1,1
Surop,SUR-0004,2,2,2,1,1,1,1,1
Surop,SUR-0005,2,2,2,2,1,2,2,2
Surop,SUR-0006,1,2,2,2,2,2,2,2
Surop,SUR-0007,1,1,2,2,1,2,2,2
Surop,SUR-0008,2,1,1,2,1,1,1,2
Surop,SUR-0009,1,2,2,1,1,1,2,1
Surop,SUR-0010,2,2,1,2,1,2,1,1
Surop,SUR-0011,1,1,2,2,1,2,1,2
Surop,SUR-0012,1,1,2,1,1,2,2,2
Surop,SUR-0013,2,1,1,1,2,1,2,2
Surop,SUR-0014,2,2,2,1,2,2,2,1
Surop,SUR-0015,1,2,1,2,1,1,2,2
Surop,SUR-0016,1,1,2,2,2,2,2,1
Surop,SUR-0017,2,2,1,1,1,2,1,1
Surop,SUR-0018,1,2,1,1,1,1,2,2
Surop,SUR-0019,2,2,1,2,2,1,2,2
Surop,SUR-0020,2,2,2,1,1,1,1,1
Surop,SUR-0021,2,1,1,1,1,1,2,2
Surop,SUR-0022,2,1,1,1,1,2,2,2
Surop,SUR-0023,1,2,1,2,1,2,2,2
Surop,SUR-0024,2,2,1,2,2,2,2,1
Surop,SUR-0025,1,1,1,2,1,2,2,2
Surop,SUR-0026,2,2,1,2,1,2,1,1
Surop,SUR-0027,2,2,2,1,1,1,2,1
Surop,SUR-0028,1,2,1,2,1,2,2,2
Surop,SUR-0029,1,2,2,1,1,2,1,2
Surop,SUR-0030,2,2,1,1,2,1,1,2
Surop,SUR-0031,2,1,1,2,2,1,2,1
Surop,SUR-0032,1,1,1,1,1,1,1,2
Surop,SUR-0033,2,1,2,2,1,1,2,1
Surop,SUR-0034,1,1,1,2,2,2,2,2
Surop,SUR-0035,1,2,2,1,2,1,1,1
Surop,SUR-0036,2,1,1,1,2,1,2,2
Surop,SUR-0037,1,1,1,1,1,1,2,2
Surop,SUR-0038,2,2,1,2,2,2,2,2
Surop,SUR-0039,1,1,2,2,1,2,2,2
Surop,SUR-0040,2,2,2,1,1,1,2,1
Surop,SUR-0041,1,2,2,2,1,1,2,2
Surop,SUR-0042,2,1,1,2,2,1,1,1
Surop,SUR-0043,2,1,1,2,1,1,1,2
Surop,SUR-0044,1,1,2,2,2,1,1,2
Surop,SUR-0045,2,2,2,2,1,2,2,1
Surop,SUR-0046,2,1,1,1,2,2,1,2
Surop,SUR-0047,2,2,2,2,1,1,1,1
Surop,SUR-0048,1,2,1,2,2,1,1,2
Surop,SUR-0049,2,2,1,1,1,1,1,2
Surop,SUR-0050,1,1,1,1,2,2,2,2
Surop,SUR-0051,2,1,2,2,1,1,2,1
Surop,SUR-0052,2,1,2,1,1,2,1,1
Surop,SUR-0053,1,1,2,2,1,1,2,1
Surop,SUR-0054,2,1,2,1,2,1,2,1
Surop,SUR-0055,1,1,1,1,2,1,2,2
Surop,SUR-0056,2,1,2,1,2,2,2,2
Surop,SUR-0057,1,1,2,1,1,1,1,2
Surop,SUR-0058,2,2,2,2,1,2,1,2
Tagabebe,TAG-0001,1,1,2,1,2,1,1,2
Tagabebe,TAG-0002,1,2,1,2,2,1,2,1
Tagabebe,TAG-0003,1,2,1,2,1,2,1,2
Tagabebe,TAG-0004,2,2,2,2,1,1,2,1
Tagabebe,TAG-0005,1,2,1,1,2,2,1,1
Tagabebe,TAG-0006,1,2,1,1,2,1,1,1
Tagabebe,TAG-0007,2,2,1,2,2,1,1,1
Tagabebe,TAG-0008,1,2,2,2,1,2,1,1
Tagabebe,TAG-0009,2,2,1,2,2,2,2,2
Tagabebe,TAG-0010,2,1,1,2,1,2,1,1
Tagabebe,TAG-0011,1,1,2,2,1,2,2,2
Tagabebe,TAG-0012,2,1,1,1,1,2,1,1
Tagabebe,TAG-0013,2,2,2,1,1,1,1,1
Tagabebe,TAG-0014,2,2,2,1,2,2,2,1
Tagabebe,TAG-0015,1,2,1,2,1,1,1,1
Tagabebe,TAG-0016,2,2,1,2,1,1,1,2
Tagabebe,TAG-0017,1,2,2,1,2,1,2,2
Tagabebe,TAG-0018,1,2,1,2,1,1,2,2
Tagabebe,TAG-0019,2,2,2,1,2,1,1,1
Tagabebe,TAG-0020,2,1,1,1,1,2,1,1
Tagabebe,TAG-0021,1,2,1,2,2,2,2,1
Tagabebe,TAG-0022,1,1,2,2,2,2,1,1
Tagabebe,TAG-0023,1,2,2,1,1,1,2,2
Tagabebe,TAG-0024,1,2,2,1,1,1,1,1
Tagabebe,TAG-0025,2,1,2,2,2,1,1,2
Tagabebe,TAG-0026,1,1,2,1,1,1,1,1
Tagabebe,TAG-0027,1,1,2,1,1,2,1,1
Tagabebe,TAG-0028,1,1,1,1,1,2,2,1
Tagabebe,TAG-0029,1,1,2,2,1,1,1,2
Tagabebe,TAG-0030,2,2,2,1,2,2,1,1
Tagabebe,TAG-0031,2,1,1,1,1,2,1,2
Tagabebe,TAG-0032,1,2,1,1,1,2,2,1
Tagabebe,TAG-0033,2,2,2,2,1,1,1,1
Tagabebe,TAG-0034,1,2,2,1,1,2,1,2
Tagabebe,TAG-0035,1,2,2,1,1,1,1,2
Tagabebe,TAG-0036,1,2,1,2,2,2,2,1
Tagabebe,TAG-0037,1,1,2,2,1,2,1,2
Tagabebe,TAG-0038,1,2,1,2,1,2,1,1
Tagabebe,TAG-0039,1,2,2,2,1,1,1,1
Tagabebe,TAG-0040,1,1,2,1,2,2,1,2
Tagabebe,TAG-0041,1,2,2,2,2,1,1,2
Tagabebe,TAG-0042,1,2,1,2,2,2,2,2
Tagabebe,TAG-0043,1,1,2,2,2,1,1,1
Tagabebe,TAG-0044,2,1,2,2,1,1,2,1
Tagabebe,TAG-0045,1,2,2,2,2,2,1,1
Tagabebe,TAG-0046,1,1,2,1,1,2,2,2
Tagabebe,TAG-0047,1,2,1,1,1,1,2,2
Tamban,TAM-0001,1,2,1,1,1,2,2,2
Tamban,TAM-0002,2,2,2,1,2,2,2,1
Tamban,TAM-0003,2,1,1,2,2,1,2,1
Tamban,TAM-0004,1,2,1,1,1,2,2,2
Tamban,TAM-0005,1,2,2,1,1,1,1,1
Tamban,TAM-0006,1,2,1,2,2,1,2,1
Tamban,TAM-0007,2,2,1,2,2,1,2,1
Tamban,TAM-0008,1,2,1,1,2,2,1,1
Tamban,TAM-0009,1,2,2,1,2,2,2,1
Tamban,TAM-0010,2,2,2,1,1,2,1,2
Tamban,TAM-0011,1,2,2,2,1,2,2,1
Tamban,TAM-0012,1,2,2,2,1,1,1,2
Tamban,TAM-0013,1,2,2,1,2,2,1,1
Tamban,TAM-0014,1,2,1,2,1,2,2,1
Tamban,TAM-0015,1,1,1,1,2,1,1,1
Tamban,TAM-0016,1,1,2,2,2,2,2,2
Tamban,TAM-0017,2,1,1,2,2,2,2,1
Tamban,TAM-0018,2,1,1,2,1,2,1,1
Tamban,TAM-0019,2,2,2,1,1,1,2,1
Tamban,TAM-0020,1,1,2,1,2,1,1,1
Tamban,TAM-0021,1,1,1,1,1,1,2,2
Tamban,TAM-0022,2,2,2,1,2,1,2,2
Tamban,TAM-0023,2,2,1,2,2,1,1,2
Tamban,TAM-0024,2,1,2,1,1,1,1,1
Tamban,TAM-0025,2,2,2,1,1,2,1,2
Tamban,TAM-0026,1,2,2,2,2,2,1,2
Tamban,TAM-0027,2,2,1,1,2,2,2,1
Tamban,TAM-0028,1,2,2,1,1,1,2,1
Tamban,TAM-0029,1,2,1,1,2,1,1,2
Tamban,TAM-0030,1,1,2,1,1,1,1,2
Tamban,TAM-0031,1,2,2,2,2,1,1,2
Tamban,TAM-0032,1,2,2,2,2,1,1,2
Tamban,TAM-0033,2,1,1,1,2,2,2,1
Tamban,TAM-0034,2,2,1,1,1,2,2,1
Tamban,TAM-0035,2,2,1,2,2,2,1,1
Tamban,TAM-0036,2,2,1,2,1,1,1,1
Tandang Sora,TAN-0001,2,1,2,2,2,1,1,2
Tandang Sora,TAN-0002,1,1,1,2,2,2,2,2
Tandang Sora,TAN-0003,1,2,1,2,1,2,2,2
Tandang Sora,TAN-0004,1,1,1,1,2,1,1,1
Tandang Sora,TAN-0005,2,2,1,2,1,1,1,1
Tandang Sora,TAN-0006,1,1,1,2,1,1,2,1
Tandang Sora,TAN-0007,1,2,1,2,2,2,1,1
Tandang Sora,TAN-0008,1,1,2,2,1,1,2,2
Tandang Sora,TAN-0009,1,2,1,2,2,2,2,1
Tandang Sora,TAN-0010,1,2,2,2,1,1,2,1
Tandang Sora,TAN-0011,1,2,1,2,2,2,1,2
Tandang Sora,TAN-0012,2,2,2,1,2,2,2,1
Tandang Sora,TAN-0013,1,1,2,2,1,1,2,1
Tandang Sora,TAN-0014,2,2,2,1,1,2,2,2
Tandang Sora,TAN-0015,1,1,2,1,1,1,1,1
Tandang Sora,TAN-0016,2,2,2,1,2,1,1,2
Tandang Sora,TAN-0017,2,2,1,2,1,1,2,2
Tandang Sora,TAN-0018,2,2,1,2,2,2,1,2
Tandang Sora,TAN-0019,2,2,2,1,2,1,2,2
Tandang Sora,TAN-0020,2,2,2,1,1,1,1,2
Tandang Sora,TAN-0021,2,1,2,1,2,2,1,2
Tandang Sora,TAN-0022,2,1,1,1,2,2,1,1
Tandang Sora,TAN-0023,1,1,1,2,1,1,1,1
Tandang Sora,TAN-0024,1,2,2,2,2,1,2,2
Tandang Sora,TAN-0025,1,2,2,2,2,2,1,1
Tandang Sora,TAN-0026,1,1,2,2,1,1,2,2
Tandang Sora,TAN-0027,2,2,2,1,1,2,2,2
Tandang Sora,TAN-0028,2,1,1,1,2,2,1,2
Tandang Sora,TAN-0029,1,1,1,1,1,2,1,1
Tandang Sora,TAN-0030,1,2,1,2,1,1,2,1
Tandang Sora,TAN-0031,2,2,2,1,2,1,1,1
Tandang Sora,TAN-0032,2,2,2,2,1,1,2,2
Tandang Sora,TAN-0033,1,1,1,1,1,2,2,1
Tandang Sora,TAN-0034,1,2,1,1,2,1,1,2
Tibanban,TIB-0001,1,1,1,2,2,1,2,2
Tibanban,TIB-0002,1,1,2,1,1,2,1,1
Tibanban,TIB-0003,2,1,2,1,1,1,2,1
Tibanban,TIB-0004,1,2,2,2,1,2,1,2
Tibanban,TIB-0005,2,2,1,1,2,2,1,2
Tibanban,TIB-0006,1,1,1,2,2,1,2,1
Tibanban,TIB-0007,1,1,1,2,2,2,1,2
Tibanban,TIB-0008,2,1,2,1,1,1,2,1
Tibanban,TIB-0009,1,2,1,1,2,1,2,1
Tibanban,TIB-0010,1,1,1,2,1,1,1,1
Tibanban,TIB-0011,2,1,1,2,2,1,2,2
Tibanban,TIB-0012,2,1,1,1,1,2,2,1
Tibanban,TIB-0013,1,1,1,1,1,1,1,1
Tibanban,TIB-0014,2,1,1,1,2,1,2,2
Tibanban,TIB-0015,2,1,1,1,1,1,1,1
Tibanban,TIB-0016,2,1,1,1,1,1,2,1
Tibanban,TIB-0017,2,1,2,1,1,2,1,1
Tibanban,TIB-0018,1,1,2,2,1,1,2,1
Tibanban,TIB-0019,1,1,2,2,2,2,1,1
Tibanban,TIB-0020,1,1,1,1,1,1,2,2
Tibanban,TIB-0021,2,2,1,2,2,1,1,2
Tibanban,TIB-0022,1,2,1,2,2,2,2,1
Tibanban,TIB-0023,1,1,2,1,1,1,2,1
Tibanban,TIB-0024,2,2,2,1,1,1,1,1
Tibanban,TIB-0025,1,1,1,2,1,1,1,2
Tibanban,TIB-0026,1,2,1,1,1,2,2,1
Tibanban,TIB-0027,1,1,1,1,2,2,2,1
Tibanban,TIB-0028,2,1,2,1,1,1,1,2
Tibanban,TIB-0029,2,2,1,1,1,1,2,1
Tibanban,TIB-0030,1,1,1,2,2,1,2,1
Tibanban,TIB-0031,2,1,1,2,2,2,2,2
Tibanban,TIB-0032,2,2,1,1,2,2,1,1
Tibanban,TIB-0033,2,1,1,1,2,1,2,1
Tibanban,TIB-0034,1,2,1,2,2,1,2,2
Tibanban,TIB-0035,1,1,2,1,1,2,1,2
Tibanban,TIB-0036,2,1,1,1,2,2,2,1
Tibanban,TIB-0037,2,1,2,2,1,1,2,1
Tibanban,TIB-0038,1,2,2,2,2,1,1,2
Tibanban,TIB-0039,1,1,1,1,2,1,1,2
Tibanban,TIB-0040,2,2,1,1,2,1,2,1
Tibanban,TIB-0041,1,2,1,1,1,1,2,1
Tibanban,TIB-0042,2,2,2,1,1,2,2,2
Tibanban,TIB-0043,1,1,1,1,1,1,2,2
Tibanban,TIB-0044,2,1,2,1,1,1,2,2
Tibanban,TIB-0045,1,2,1,1,1,2,2,2
Tibanban,TIB-0046,1,1,2,1,1,1,2,1
